,Tamanho_msg_caracteres,Tamanho_msg_MB,Tempo_gasto_ms,Memoria_gasta_MB
0,10000,0.01,844.0462000435218,3.5078125
1,20000,0.02,1608.3048000000417,5.91015625
2,30000,0.03,2347.9788000695407,6.55859375
3,40000,0.04,3145.0740000000224,8.12890625
4,50000,0.05,3738.2627999177203,9.60546875
5,60000,0.06,4815.428899950348,10.60546875
6,70000,0.07,5251.834900001995,12.69921875
7,80000,0.08,6026.23700001277,15.03125
8,90000,0.09,6760.105499997735,15.61328125
9,100000,0.10,7672.616399941035,19.4140625
10,110000,0.10,7651.273999945261,19.07421875
11,120000,0.11,10114.531200029887,23.7109375
12,130000,0.12,11717.626899946481,23.140625
13,140000,0.13,10443.5176999541,25.86328125
14,150000,0.14,10914.686299976893,27.640625
15,160000,0.15,10822.349199908786,29.25390625
16,170000,0.16,12209.550200030208,28.83203125
17,180000,0.17,16169.196999981068,32.953125
18,190000,0.18,14217.652999912389,33.19140625
19,200000,0.19,15075.989199918695,35.3046875
20,210000,0.20,16044.4206999382,37.640625
21,220000,0.21,18851.634500082582,37.3671875
22,230000,0.22,17608.299100073054,41.234375
23,240000,0.23,16456.828099908307,42.40625
24,250000,0.24,22312.085399986245,44.21484375
25,260000,0.25,20435.523400083184,44.390625
26,270000,0.26,20622.7037999779,47.01953125
27,280000,0.27,24059.807499987073,48.79296875
28,290000,0.28,22037.3099000426,50.22265625
29,300000,0.29,24690.612300066277,51.7421875
30,310000,0.30,23308.73510008678,52.7734375
31,320000,0.31,25216.56339999754,54.52734375
32,330000,0.31,25683.514300035313,56.44921875
33,340000,0.32,24032.03839994967,57.328125
34,350000,0.33,29420.39390001446,59.48046875
35,360000,0.34,29369.426199933514,60.55859375
36,370000,0.35,25783.16700004507,57.60546875
37,380000,0.36,27546.53750010766,62.74609375
38,390000,0.37,28557.165000005625,65.3515625
39,400000,0.38,28916.66379990056,67.65625
40,410000,0.39,31977.093799971044,68.98046875
41,420000,0.40,29463.31420005299,72.42578125
42,430000,0.41,33646.8197000213,72.60546875
43,440000,0.42,34714.5483000204,72.97265625
44,450000,0.43,37022.68829999957,76.2109375
45,460000,0.44,33544.74180005491,77.1484375
46,470000,0.45,37666.84389999136,77.80078125
47,480000,0.46,38840.27140005492,78.73828125
48,490000,0.47,37208.83500005584,81.54296875
49,500000,0.48,40589.27620004397,82.4921875
50,510000,0.49,39109.25489990041,83.640625
51,520000,0.50,40447.12830008939,70.96484375
52,530000,0.51,42408.75599998981,87.1171875
53,540000,0.51,43697.75219995063,87.31640625
54,550000,0.52,40060.23860001005,87.359375
55,560000,0.53,45310.844099964015,91.80859375
56,570000,0.54,45687.502400018275,89.99609375
57,580000,0.55,45910.67310003564,91.6640625
58,590000,0.56,48670.10530002881,95.71875
59,600000,0.57,47638.831199961714,96.0390625
60,610000,0.58,45390.93460002914,98.73046875
61,620000,0.59,49782.34669996891,99.6640625
62,630000,0.60,52044.64829992503,101.53515625
63,640000,0.61,47847.97900007106,102.48046875
64,650000,0.62,53578.845000010915,104.75390625
65,660000,0.63,47665.23030004464,104.328125
66,670000,0.64,53112.48909996357,107.94921875
67,680000,0.65,54880.45779999811,112.63671875
68,690000,0.66,55538.82109990809,110.4609375
69,700000,0.67,56184.59530000109,115.14453125
70,710000,0.68,57335.890599992126,112.03515625
71,720000,0.69,58855.53409997374,115.01953125
72,730000,0.70,56173.95329999272,118.8359375
73,740000,0.71,58823.204300017096,118.43359375
74,750000,0.72,58150.46480007004,118.97265625
75,760000,0.72,60265.370700042695,123.78515625
76,770000,0.73,53944.745299988426,122.85546875
77,780000,0.74,60698.282600031234,126.89453125
78,790000,0.75,61264.714000048116,126.90234375
79,800000,0.76,62310.636700014584,127.6484375
80,810000,0.77,66113.5392000433,129.9921875
81,820000,0.78,65400.07800003514,131.91015625
82,830000,0.79,65770.65429999493,132.90625
83,840000,0.80,67823.36529996246,134.69140625
84,850000,0.81,69610.95469992142,138.0546875
85,860000,0.82,87255.1285000518,137.70703125
86,870000,0.83,89248.565100017,139.703125
87,880000,0.84,83323.42889998108,144.0546875
88,890000,0.85,90650.40320006665,145.1953125
89,900000,0.86,93784.62910000235,144.8984375
90,910000,0.87,98903.16119999625,146.6015625
91,920000,0.88,98969.35399994254,145.359375
93,940000,0.90,103101.23869997915,153.0625
94,950000,0.91,101095.88070004247,150.12890625
95,960000,0.92,103895.41080000345,156.31640625
96,970000,0.93,104708.77240004484,156.51171875
97,980000,0.93,101357.50880010892,158.66015625
98,990000,0.94,108058.21309995372,160.38671875
99,1000000,0.95,107762.3890999239,160.96484375
