,Tamanho_msg_caracteres,Tamanho_msg_MB,Tempo_gasto_ms,Memoria_gasta_MB
0,10000,0.01,1305.214799940586,0.05078125
1,20000,0.02,2583.1242999993265,0.02734375
2,30000,0.03,2207.401299965568,0.0
3,40000,0.04,3195.53430005908,0.05078125
4,50000,0.05,3746.4185999706388,0.0
5,60000,0.06,4238.231400027871,0.0
6,70000,0.07,3800.602800096385,0.0
7,80000,0.08,4321.706400020048,0.0
8,90000,0.09,3809.272399987094,0.0
9,100000,0.10,5842.957199900411,0.05859375
10,110000,0.10,4890.523000038229,0.0
11,120000,0.11,4814.711799961515,0.0
12,130000,0.12,6734.80960004963,0.0
13,140000,0.13,6849.779199925251,0.0
14,150000,0.14,6706.271100090817,0.0
15,160000,0.15,7194.126200047322,0.0234375
16,170000,0.16,7540.156899951398,0.0
17,180000,0.17,7986.774699995294,0.0
18,190000,0.18,8518.429100047797,0.0
19,200000,0.19,15180.702900048345,0.0
20,210000,0.20,9997.93369998224,0.0
21,220000,0.21,9192.934199934825,0.0
22,230000,0.22,10390.301899984479,0.84765625
23,240000,0.23,10022.641200106591,1.015625
24,250000,0.24,10517.357700038701,0.078125
25,260000,0.25,11609.360700007528,1.1640625
26,270000,0.26,11538.558700005524,0.953125
27,280000,0.27,11318.235300015658,0.68359375
28,290000,0.28,13839.006099966355,1.23828125
29,300000,0.29,12692.692299955525,0.01953125
30,310000,0.30,14025.53430001717,0.98828125
31,320000,0.31,12492.872999981046,1.1875
32,330000,0.31,13649.798200000077,0.953125
33,340000,0.32,14341.721100034192,1.1953125
34,350000,0.33,14537.96590003185,0.3984375
35,360000,0.34,14538.387199980207,0.03125
36,370000,0.35,14760.062100016512,0.015625
37,380000,0.36,16125.185700017028,0.3671875
38,390000,0.37,16741.284899995662,2.171875
39,400000,0.38,17067.976499907672,2.0546875
40,410000,0.39,16412.324599921703,1.23828125
41,420000,0.40,16686.728900065646,0.90234375
42,430000,0.41,18076.467899954878,0.98046875
43,440000,0.42,17162.14889998082,2.36328125
44,450000,0.43,17279.77440005634,1.01953125
45,460000,0.44,18196.571599924937,0.953125
46,470000,0.45,18832.275399938226,1.15234375
47,480000,0.46,19186.635600053705,2.53125
48,490000,0.47,20875.31119992491,1.21484375
49,500000,0.48,19447.463699965738,2.4609375
50,510000,0.49,19497.11890006438,1.16796875
51,520000,0.50,20465.555000002496,1.43359375
52,530000,0.51,20180.75840000529,2.125
53,540000,0.51,21255.73639990762,2.11328125
54,550000,0.52,20680.599299957976,1.671875
55,560000,0.53,22373.44110000413,1.1953125
56,570000,0.54,23561.72759993933,1.33984375
57,580000,0.55,22441.52689992916,1.25
58,590000,0.56,23127.67140008509,2.671875
59,600000,0.57,24639.825099962763,2.46484375
60,610000,0.58,22879.98919992242,1.3203125
61,620000,0.59,24184.11659996491,2.890625
62,630000,0.60,24644.061299972236,1.48046875
63,640000,0.61,25840.922000003047,0.828125
64,650000,0.62,24950.33889997285,1.55078125
65,660000,0.63,25478.859299910255,1.5703125
66,670000,0.64,26936.893700039946,0.7890625
67,680000,0.65,30290.64219992142,2.9296875
68,690000,0.66,26268.39649991598,2.9453125
69,700000,0.67,27207.24669995252,2.6640625
70,710000,0.68,26386.3413000945,2.35546875
71,720000,0.69,28531.544500030577,4.90625
72,730000,0.70,27910.824099904858,3.12890625
73,740000,0.71,29237.61209996883,1.75
74,750000,0.72,28382.21029995475,1.7578125
75,760000,0.72,21605.12690001633,2.69921875
76,770000,0.73,20581.758499960415,1.8125
77,780000,0.74,22219.682199996896,1.8671875
78,790000,0.75,21663.214799948037,1.84765625
79,800000,0.76,21505.284999962896,2.828125
80,810000,0.77,20752.659099991433,4.15625
81,820000,0.78,21329.439499997534,3.2578125
82,830000,0.79,22367.04899999313,6.390625
83,840000,0.80,23742.26810003165,8.56640625
84,850000,0.81,24323.412699974142,1.0
85,860000,0.82,22738.120900001377,1.0234375
86,870000,0.83,23182.4551000027,0.96875
87,880000,0.84,23768.9560999861,1.04296875
88,890000,0.85,23785.482699982822,0.7734375
89,900000,0.86,25344.63130007498,1.06640625
90,910000,0.87,24799.38740003854,1.0703125
91,920000,0.88,26939.916200004518,1.03515625
92,930000,0.89,27719.715200015344,1.0390625
93,940000,0.90,25370.812400011346,0.99609375
94,950000,0.91,26001.651900005527,1.1171875
95,960000,0.92,27849.97260000091,1.140625
96,970000,0.93,26842.58509997744,1.04296875
97,980000,0.93,27005.205299938098,1.0546875
98,990000,0.94,28159.118699957617,1.1640625
